text,label
tere bina thoda boring lagta,flirty
kaafi pressure lag raha,sad_low_energy
tu samajh nahi raha kya?,argument_tension
bsdk khamakha gussa dilaa diya,argument_tension
main kabhi kabhi diwar se baat karta hu,weird
tu samajh nahi raha kya?,argument_tension
scene bana le,friendly
abe yeh kya faltu baat kar raha hai,argument_tension
tu samajh nahi raha kya?,argument_tension
thik,dry
chal chai pe chalte hain,friendly
ok,dry
ha,dry
aaj bilkul energy nahi,sad_low_energy
tu sahi bolta hai yaar,friendly
chal hat yaar,argument_tension
kutta mujhe side eye de raha tha,weird
hmm theek,dry
ok,dry
bas theek nahi chal raha,sad_low_energy
kitna irritate karta hai banda,argument_tension
"bhai chill na, sab theek ho jaayega",friendly
hmm theek,dry
tere bina thoda boring lagta,flirty
huh,dry
main kabhi kabhi diwar se baat karta hu,weird
kal raat alien sapne me aaya 😭,weird
dimag me rave chal raha,weird
ok,dry
tu overreact kar raha hai,argument_tension
hmm theek,dry
k,dry
thik,dry
teri problem kya hai exactly?,argument_tension
ha,dry
ok,dry
thoda low feel kar raha,sad_low_energy
kal milna… alone 😉,flirty
ek baat bolu? tu dangerous hot lagta hai,flirty
haan.,dry
thik,dry
nice vibes today,friendly
"bhai chill na, sab theek ho jaayega",friendly
kaafi pressure lag raha,sad_low_energy
dimag me rave chal raha,weird
hmm theek,dry
abe yeh kya faltu baat kar raha hai,argument_tension
kitna irritate karta hai banda,argument_tension
raat ko fan se awaz aayi jise ghost bola,weird
thik,dry
teri smile thodi illegal si hai,flirty
raat ko call kare? 😌,flirty
kaafi pressure lag raha,sad_low_energy
dimag cluttered hai,sad_low_energy
bhaag yaar tumse na ho payega,argument_tension
mujhe lagta fridge mujhse baat karta,weird
raat ko fan se awaz aayi jise ghost bola,weird
kaafi pressure lag raha,sad_low_energy
tu samajh nahi raha kya?,argument_tension
mujhe lagta fridge mujhse baat karta,weird
teri problem kya hai exactly?,argument_tension
ek baat bolu? tu dangerous hot lagta hai,flirty
mood off hai,sad_low_energy
chal chai pe chalte hain,friendly
bas theek nahi chal raha,sad_low_energy
haan.,dry
ha,dry
ha,dry
chal chai pe chalte hain,friendly
kutta mujhe side eye de raha tha,weird
soya nahi bas existential crisis,weird
tu aaj extra cute lag raha tha ngl 😏,flirty
soya nahi bas existential crisis,weird
tere bina thoda boring lagta,flirty
teri problem kya hai exactly?,argument_tension
tere bina thoda boring lagta,flirty
tu overreact kar raha hai,argument_tension
teri smile thodi illegal si hai,flirty
raat theek se soti nahi,sad_low_energy
"tu bol de, dil pighal jayega mera",flirty
tu bada sweet nikla,friendly
raat ko call kare? 😌,flirty
bas theek nahi chal raha,sad_low_energy
tu sahi bolta hai yaar,friendly
chal chai pe chalte hain,friendly
kal milna… alone 😉,flirty
tere texts ka effect alag hi hai 😌,flirty
huh,dry
kal milna… alone 😉,flirty
ek baat bolu? tu dangerous hot lagta hai,flirty
main kabhi kabhi diwar se baat karta hu,weird
raat theek se soti nahi,sad_low_energy
bhaag yaar tumse na ho payega,argument_tension
bsdk khamakha gussa dilaa diya,argument_tension
chal chai pe chalte hain,friendly
dimag cluttered hai,sad_low_energy
tu bada sweet nikla,friendly
haan.,dry
chal hat yaar,argument_tension
thoda low feel kar raha,sad_low_energy
tere bina thoda boring lagta,flirty
tu bada sweet nikla,friendly
kal raat alien sapne me aaya 😭,weird
hmm theek,dry
abe yeh kya faltu baat kar raha hai,argument_tension
aaj ek dog ne mujhe wink kiya,weird
scene bana le,friendly
thik,dry
aaj ek dog ne mujhe wink kiya,weird
mann heavy sa lag raha,sad_low_energy
dimag cluttered hai,sad_low_energy
thik,dry
mast baat hui,friendly
seen,dry
mann heavy sa lag raha,sad_low_energy
bhai tu hadd kar raha,argument_tension
tu sahi bolta hai yaar,friendly
tu samajh nahi raha kya?,argument_tension
ok,dry
thik,dry
"pata nahi yaar, life thodi tiring lag rahi",sad_low_energy
pani ka taste aaj alag hai,weird
bhai tu hadd kar raha,argument_tension
ok,dry
nice vibes today,friendly
raat ko call kare? 😌,flirty
thik,dry
mujhe lagta fridge mujhse baat karta,weird
mast baat hui,friendly
raat theek se soti nahi,sad_low_energy
tu blush karta hai kya? 😏,flirty
dimag me rave chal raha,weird
ha,dry
tu overreact kar raha hai,argument_tension
tu overreact kar raha hai,argument_tension
mere dreams ultra HD aaj,weird
kal raat alien sapne me aaya 😭,weird
kutta mujhe side eye de raha tha,weird
raat theek se soti nahi,sad_low_energy
teri problem kya hai exactly?,argument_tension
teri smile thodi illegal si hai,flirty
pani ka taste aaj alag hai,weird
tu samajh nahi raha kya?,argument_tension
huh,dry
mood off hai,sad_low_energy
tu aaj extra cute lag raha tha ngl 😏,flirty
mujhe lagta fridge mujhse baat karta,weird
"meri sun pehle, aise mat bol",argument_tension
"bhai chill na, sab theek ho jaayega",friendly
kitna irritate karta hai banda,argument_tension
ok,dry
scene bana le,friendly
"meri sun pehle, aise mat bol",argument_tension
tu overreact kar raha hai,argument_tension
main kabhi kabhi diwar se baat karta hu,weird
bsdk khamakha gussa dilaa diya,argument_tension
acha laga baat karke,friendly
tere texts ka effect alag hi hai 😌,flirty
chal kal milte hain,friendly
soya nahi bas existential crisis,weird
mast baat hui,friendly
seen,dry
dimag me rave chal raha,weird
"pata nahi yaar, life thodi tiring lag rahi",sad_low_energy
khali khali sa lag raha,sad_low_energy
bhaag yaar tumse na ho payega,argument_tension
bas theek nahi chal raha,sad_low_energy
scene bana le,friendly
teri smile thodi illegal si hai,flirty
k,dry
